claim_id,rq,phase,claim,denominator_or_scope,status,evidence_artifact,verification,owner
C-001,F-RQ1,P2,"Within the co-developed D1 benchmark, aggregate full and changed node/edge detection has precision, recall and F1 of 1.000","20 controlled patches; 5 baseline nodes; 5 baseline edges; declared per-case deltas",verified-controlled,"archsync-benchmark/evidence/phase-2-results.json","pnpm verify",Hiếu
C-002,F-RQ2,P2,"Within D1, classification matches the group-authored regression oracle","20 of 20 controlled D1 patches",verified-controlled,"archsync-benchmark/evidence/phase-2-results.json","pnpm verify",Hiếu
C-003,F-RQ2,P2,"Within D1, violated rule sets match the group-authored regression oracle","7 of 7 controlled violation cases",verified-controlled,"archsync-benchmark/evidence/phase-2-results.json","pnpm verify",Hiếu
C-004,F-RQ3,P2,"Within D1, finding-bearing cases match the expected file and exact line","11 of 11 controlled cases",verified-controlled,"archsync-benchmark/evidence/phase-2-results.json","pnpm verify",Hiếu
C-005,F-RQ1,P2,"Within the co-developed D2 corpus, provenance-aware v0.2 classifies the targeted detector signals without error","20 positive and 20 hard-negative controlled signals",verified-controlled,"archsync-benchmark/evidence/typescript-pattern-results.json","pnpm verify",Thành viên 3
C-006,F-RQ4,P3,"Within the D1 replay, Git-diff decision, changed-file, architecture-delta and incremental/full-scan results match","20 of 20 controlled D1 patches",verified-controlled,"archsync-benchmark/evidence/phase-3-results.json","pnpm verify",Thành viên 3
C-007,F-RQ4,P3,"Within the D1 replay, repeated Git-diff checks reuse the base cache and preserve normalized output","20 of 20 controlled repeated checks",verified-controlled,"archsync-benchmark/evidence/phase-3-results.json","pnpm verify",Thành viên 3
C-008,F-RQ4,P3,"Within the D1 replay, incremental analysis parses 57 of 189 TypeScript file instances","Controlled D1 Phase 3 protocol",verified-controlled,"archsync-benchmark/evidence/phase-3-results.json","pnpm verify",Thành viên 3
C-009,F-RQ4,P3,"Recorded Windows cold/warm median latency is 518.51/242.62 ms for the controlled D1 replay","20 cold and 20 warm controlled samples on the recorded environment",verified-controlled,"archsync-benchmark/evidence/phase-3-results.json","pnpm verify; recompute statistics",Thành viên 3
P-001,Future,P4,"AI explanations are evidence-grounded and unsupported claims remain within the frozen threshold","Planned protocol; no result yet",planned,"Not available","Phase 4 evidence gate",Thành viên 2
P-002,Future,P4,"Repair candidates pass sandbox verification without changing deterministic decisions","Planned protocol; no result yet",planned,"Not available","Phase 4 evidence gate",Thành viên 2
P-003,Future,P5,"IaC evidence can be reconciled with model and code evidence","Planned protocol; no result yet",planned,"Not available","Phase 5 evidence gate",Thành viên 3
P-004,Future,P6,"Runtime evidence supports a human-governed architecture evolution scorecard","Planned protocol; no result yet",planned,"Not available","Phase 6 evidence gate",Thành viên 3
